product,platform,date,clicks,daily_spend,views,total_followers,today_followers,yesterday_followers,reach,daily_installs,impressions
exarta,linkedin,09/21/2024,NA,NA,NA,10034.0,2.0,4.0,NA,NA,NA
exarta,x,09/21/2024,NA,NA,NA,16899.0,0.0,0.0,NA,NA,NA
exarta,facebook,09/21/2024,NA,NA,NA,866.0,0.0,0.0,NA,NA,NA
exarta,meta,09/21/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
exarta,instagram,09/21/2024,NA,NA,NA,2934.0,0.0,0.0,NA,NA,NA
exarta,ppc,09/21/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
exarta,youtube,09/21/2024,NA,NA,NA,311.0,0.0,0.0,NA,NA,NA
odyssey,meta,09/21/2024,300.0,1000.0,NA,NA,NA,NA,31166.0,NA,NA
odyssey,ppc,09/21/2024,59.0,3680.0,NA,NA,NA,NA,NA,NA,2200.0
odyssey,shopify,09/21/2024,62.0,2784.0,NA,NA,NA,NA,NA,3.0,2269.0
odyssey,x,09/21/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
odyssey,youtube,09/21/2024,84.0,1635.0,13300.0,581.0,0.0,0.0,NA,NA,NA
odyssey,tiktok,09/21/2024,NA,NA,NA,65.0,0.0,0.0,NA,NA,NA
odyssey,facebook,09/21/2024,NA,NA,NA,169.0,0.0,0.0,NA,NA,NA
odyssey,instagram,09/21/2024,NA,NA,NA,282.0,0.0,0.0,NA,NA,NA
zeniva,linkedin,09/21/2024,NA,NA,NA,1560.0,0.0,1.0,NA,NA,NA
zeniva,meta,09/21/2024,249.0,1000.0,NA,NA,NA,NA,26233.0,NA,NA
zeniva,ppc,09/21/2024,208.0,3500.0,NA,NA,NA,NA,NA,NA,1300.0
zeniva,shopify,09/21/2024,33.0,8352.0,NA,NA,NA,NA,NA,0.0,2173.0
zeniva,x,09/21/2024,NA,NA,NA,6.0,0.0,0.0,NA,NA,NA
zeniva,youtube,09/21/2024,11.0,2000.0,22300.0,275.0,0.0,0.0,NA,NA,NA
zeniva,facebook,09/21/2024,NA,NA,NA,165.0,0.0,0.0,NA,NA,NA
zeniva,instagram,09/21/2024,NA,NA,NA,401.0,0.0,0.0,NA,NA,NA
